year,month,waterMonth,waterYear,flowMean,flowMin,flowMax,flowMedian,flowChange,flowChangePercent,volume,flowMeanVariance,flowMeanCalMonthExceedance
1976,2,5,1975,878,740,1187,859,447,0.3766991364707173,2199,2.181159420289855,0.6331249999999999
1976,3,6,1975,3622,1246,5396,3901,4150,0.7690906553094463,9701,7.3842592592592595,0.19367231638418092
1976,4,7,1975,4746,4353,5434,4500,-1002,-0.22602701689636379,12301,5.6008344923504865,0.07714046822742465
1976,5,8,1975,3830,2943,4501,3931,-1553,-0.5278206126258226,10259,1.8433556050482554,0.02964308077645585
1976,6,9,1975,2140,1485,2895,2117,-1411,-0.9499957621440276,5548,-0.15448439352034768,0.028871287128712828
1976,7,10,1975,1034,692,1447,1028,-755,-1.0908722451992459,2770,-0.651264755480607,0.026709206927985358
1976,8,11,1975,541,453,682,538,-229,-0.5059592645571283,1450,-0.7561964849031095,0.0520408163265305
1976,9,12,1975,403,373,453,398,-80,-0.2146387843704211,1045,-0.6650041562759768,0.06765957446808508
1976,10,1,1976,379,373,389,381,14,0.0349801999643194,1016,-0.3565365025466893,0.022857142857142798
1976,11,2,1976,378,365,398,375,12,0.029174374034256826,981,-0.01818181818181818,0.08
1976,12,3,1976,470,403,551,467,148,0.26877739174098264,1260,0.6319444444444444,0.31421052631578944
1977,1,4,1976,692,556,914,660,302,0.3521239490579687,1852,1.895397489539749,0.40121951219512225
1977,2,5,1976,1044,847,1493,965,634,0.4249351647617417,2525,2.782608695652174,0.4642713567839197
1977,3,6,1976,2081,1560,2396,2113,836,0.34899570894822535,5575,3.8171296296296298,0.6
1977,4,7,1976,2610,2423,2681,2624,257,0.09598613922709807,6764,2.6300417246175245,0.609750812567714
1977,5,8,1976,2665,2261,2831,2743,-444,-0.19623538051007328,7138,0.9784706755753526,0.2602690582959641
1977,6,9,1976,1634,1108,2217,1628,-1110,-1.0017594814216655,4237,-0.3544053733702094,0.16116022099447502
1977,7,10,1976,781,572,1086,748,-515,-0.8997019671900335,2092,-0.736593591905565,0.17
1977,8,11,1976,492,431,572,480,-141,-0.32702569436730733,1319,-0.7782785038305543,0.13043478260869573
1977,9,12,1976,374,335,427,373,-91,-0.2717360432250887,969,-0.6891105569409809,0.10487804878048775
1977,10,1,1977,309,284,332,309,-48,-0.16926040980432244,828,-0.47538200339558573,0.09782608695652172
1977,11,2,1977,304,274,341,295,57,0.16731700527262416,787,-0.21038961038961038,0.2713636363636364
1977,12,3,1977,529,345,752,563,407,0.5415255674291723,1417,0.8368055555555556,0.1767630057803468
1978,1,4,1977,983,818,1117,977,212,0.18944341331186074,2633,3.1129707112970713,0.10742187499999992
1978,2,5,1977,1475,1128,2028,1446,901,0.4440441692145594,3569,4.344202898550725,0.21986856516977
1978,3,6,1977,3519,2102,5396,3251,3294,0.6104667342119195,9426,7.145833333333333,0.2148749237339842
1978,4,7,1977,6021,5453,6348,6072,296,0.05149892128409374,15607,7.37413073713491,0.0126837672281776
1978,5,8,1977,4600,3441,5669,4612,-2228,-0.6473781242815525,12321,2.414996288047513,0.010671512634129436
1978,6,9,1977,2476,1746,3405,2417,-1659,-0.9502669687573535,6419,-0.021730541288028447,0.010893133711925636
1978,7,10,1977,1218,859,1708,1167,-849,-0.9892546677037328,3262,-0.5892074198988195,0.010506142506142492
1978,8,11,1977,676,556,847,667,-291,-0.5229373992432617,1812,-0.6953582694907616,0
1978,9,12,1977,491,435,551,482,-116,-0.2652176384456315,1271,-0.5918536990856192,0
1978,10,1,1978,417,392,440,418,0,0,1117,-0.2920203735144312,0.010477326968973737
1978,11,2,1978,519,440,589,517,149,0.2532089457449695,1345,0.34805194805194806,0.010131578947368408
1978,12,3,1978,699,602,784,692,182,0.23220060084814675,1872,1.4270833333333333,0.04226804123711336
1979,1,4,1978,939,784,1126,925,342,0.30379556477429337,2516,2.928870292887029,0.11978766430738115
1979,2,5,1978,1466,1128,1953,1396,825,0.42242736088178645,3547,4.311594202898551,0.2353299492385788
1979,3,6,1978,2786,1983,3573,2769,1590,0.44492166381646675,7463,5.449074074074074,0.3390140845070422
1979,4,7,1978,4659,3689,5326,4740,422,0.10265877122550361,12076,5.479833101529903,0.0989816700610998
1979,5,8,1978,3071,2169,4037,3032,-1868,-0.8610478411162639,8226,1.2798812175204157,0.1631760435571688
1979,6,9,1978,1527,1073,2139,1489,-1066,-0.9931184090675962,3957,-0.39668115369419205,0.2132818532818534
